Prov.Cod;income;LogIncome;gender;employment.rate;isced5;owner
1;19701.56379;9.706366889;0.32660512;0.497278001;0.103926825;0.697798763
2;18262.38546;9.663077537;0.438337529;0.373321435;0.074334372;0.585684136
3;20223.84951;9.774395822;0.278826186;0.582211613;0.0999158;0.704729444
4;17852.19487;9.600348242;0.323786237;0.542184382;0.091531591;0.753351459
5;16763.40293;9.48722244;0.346297634;0.491206971;0.057360326;0.707035566
6;18187.94991;9.684913749;0.289703802;0.406753059;0.118433132;0.732594612
7;20339.71504;9.749748732;0.333977655;0.548683445;0.065862701;0.727822348
8;16125.46506;9.512001303;0.359350189;0.522774798;0.062388271;0.622884948
9;16693.63553;9.489524999;0.390347683;0.414095616;0.113605945;0.574876781
10;18559.9058;9.667333401;0.443965991;0.423975514;0.111831585;0.684712293
11;18126.2148;9.629097248;0.335994508;0.432721966;0.076641703;0.733330515
12;21674.53233;9.786577203;0.266595338;0.545948919;0.101268646;0.756439122
13;21694.7636;9.78068248;0.197835408;0.542673102;0.08615576;0.717652304
14;16950.40529;9.567014008;0.342100123;0.619735829;0.06142727;0.514982587
15;21999.42304;9.770831081;0.358385332;0.541123351;0.131858863;0.755867769
16;20953.01733;9.78407748;0.312695849;0.617040776;0.077385692;0.748344672
17;17862.46808;9.604526919;0.339667544;0.540341408;0.095895368;0.60249813
18;23436.98094;9.778316529;0.236308141;0.495780731;0.083181972;0.762341135
19;17158.69379;9.618400681;0.307199862;0.413132259;0.10406372;0.744144693
20;18887.82965;9.702385944;0.295278884;0.56771368;0.09157458;0.745510514
21;22168.76035;9.846934549;0.3384117;0.58910304;0.098796881;0.675322386
22;19120.27245;9.695890666;0.323796222;0.585612195;0.092856046;0.7428829
23;18886.90808;9.676235138;0.239051741;0.597762786;0.085514784;0.734425019
24;18092.6289;9.620738465;0.256011395;0.572209194;0.078074842;0.783289979
25;16764.18307;9.574505102;0.365188606;0.484202242;0.026054053;0.820974193
26;20192.92148;9.726094389;0.317940306;0.483296671;0.041568606;0.776483696
27;16924.26488;9.596154049;0.29930429;0.514499439;0.100564502;0.775471504
28;20990.28386;9.756021037;0.25464655;0.612114911;0.136867249;0.79469393
29;18609.69704;9.699611223;0.330609006;0.54197839;0.080252136;0.740398491
30;17962.25812;9.643182579;0.307986165;0.478512961;0.124208674;0.790310892
31;17723.24382;9.637635085;0.340157866;0.427163373;0.101598442;0.765106188
32;19368.4461;9.748929919;0.367836402;0.429379445;0.117448122;0.746909649
33;22876.69572;9.911757114;0.296609333;0.559328661;0.140775858;0.761140635
34;19748.09643;9.69857116;0.419881076;0.512065757;0.09039025;0.610525558
35;20226.80932;9.761892519;0.349860112;0.522881908;0.103589636;0.67838589
36;22580.53137;9.782335105;0.301089504;0.552917475;0.078815312;0.747861274
37;23334.02931;9.875027367;0.334649597;0.531643667;0.179372788;0.694506991
38;18457.5823;9.666492197;0.356257276;0.456895899;0.070700308;0.784011622
39;20046.41954;9.769377278;0.341932219;0.554431857;0.12096739;0.772535808
40;19561.65548;9.740339599;0.345896124;0.612323402;0.11689649;0.7007475
41;17340.97948;9.590570103;0.323168867;0.502773708;0.08393816;0.790833743
42;18870.3566;9.651146604;0.274544032;0.496545978;0.103312844;0.796554097
43;20537.88437;9.768233603;0.225959807;0.585295596;0.076718499;0.774265504
44;17563.41607;9.540413032;0.274743833;0.498407313;0.125562777;0.781792505
45;15535.56014;9.549782155;0.342555523;0.537559202;0.081071241;0.687311623
46;17969.31696;9.587420352;0.279479919;0.436846148;0.077950829;0.802913257
47;19227.2462;9.642833696;0.416606412;0.463292419;0.132005737;0.776071929
48;19477.17113;9.710109615;0.339612434;0.47832561;0.093364653;0.758146533
49;19281.39237;9.684490736;0.293777138;0.513356744;0.122029367;0.703977114
50;19251.14891;9.709330223;0.26908946;0.56746189;0.135916088;0.747051354
51;19612.77937;9.736410926;0.231912792;0.644539247;0.066153403;0.764182705
52;22573.93407;9.852910148;0.291736493;0.602406714;0.143351417;0.841674226
53;18445.59503;9.679318275;0.460684436;0.404304389;0.100122009;0.863185377
54;18394.52855;9.636244876;0.289196863;0.481704662;0.116686937;0.755664613
55;18090.70643;9.623013608;0.28122121;0.458228393;0.111537628;0.718249221
56;14986.72617;9.436014813;0.257150257;0.459020949;0.045034245;0.840354306
57;16360.62154;9.561511074;0.361554534;0.466583703;0.102929322;0.858411875
58;21496.59425;9.744838624;0.32786052;0.563618241;0.200734835;0.697652996
59;16863.08983;9.477588124;0.30532123;0.458440307;0.130725627;0.733257982
60;16239.68515;9.452164249;0.241500138;0.496182866;0.105635133;0.695356004
61;13590.56557;9.272484451;0.258384696;0.537343065;0.080883137;0.54276417
62;11870.94456;9.186612243;0.360873674;0.321050333;0.046621913;0.728444183
63;14235.88246;9.351045778;0.277186088;0.502339364;0.086715476;0.551784607
64;12679.10686;9.24553326;0.301697204;0.452781779;0.064569913;0.663854663
65;14193.65329;9.389972449;0.22608336;0.469901144;0.083487737;0.688071247
66;15869.39167;9.512878582;0.350723724;0.531822509;0.103116572;0.84023069
67;17085.05342;9.463749494;0.208841668;0.453909751;0.083825832;0.707270958
68;16906.08956;9.593447877;0.286326384;0.484956401;0.153134097;0.756709444
69;13782.00612;9.375917194;0.27107783;0.397238187;0.090095372;0.792736032
70;13871.03217;9.35745603;0.316127763;0.448635568;0.088195964;0.786052715
71;12814.97562;9.277162515;0.273277801;0.4351526;0.075168477;0.755933456
72;14764.73864;9.364983671;0.249957313;0.490641493;0.087005976;0.670179699
73;15712.93787;9.461321175;0.276254477;0.510042598;0.089885602;0.665709263
74;12936.77084;9.2598465;0.293803648;0.360031752;0.022699587;0.819357942
75;14946.2413;9.425995838;0.269430954;0.476148225;0.054186996;0.799766714
76;13900.76615;9.359911367;0.258105397;0.393760268;0.091530327;0.748292214
77;12614.95335;9.233417185;0.162974111;0.518851927;0.145149648;0.707191217
78;13804.87811;9.357381866;0.275106143;0.444465507;0.088786576;0.715653015
79;10838.97197;9.075454193;0.237895878;0.464653525;0.092519271;0.744987788
80;15657.38678;9.500492077;0.283204681;0.478433338;0.119443567;0.744954988
81;13960.97379;9.303859671;0.291056182;0.42468614;0.072299634;0.742008995
82;14154.03702;9.341179099;0.193211742;0.528135642;0.112044234;0.584315127
83;15004.21922;9.446508047;0.373995528;0.420710719;0.140542391;0.619878654
84;15143.24199;9.394717825;0.226862384;0.373261663;0.185526441;0.77605522
85;11379.25818;9.186030957;0.276580617;0.451570477;0.016541179;0.852125391
86;13630.94221;9.31819518;0.220807677;0.40488706;0.058331227;0.727799975
87;13776.68928;9.315486056;0.283438707;0.474809265;0.128050383;0.671893079
88;10632.75893;9.082265696;0.227331745;0.525017677;0.037615192;0.698527719
89;11875.62612;9.12351941;0.288271369;0.466273428;0.040420029;0.610613023
90;14796.83343;9.469941275;0.276779848;0.537118623;0.121566086;0.637511315
91;13206.35215;9.394630398;0.345831021;0.372360091;0.029342655;0.790541387
92;18788.63685;9.531400167;0.353096812;0.481826273;0.108920726;0.766586626
93;19105.23183;9.71874412;0.303819567;0.536022134;0.115696977;0.805768298
94;14407.14744;9.375789263;0.250433432;0.448352658;0.061884641;0.752290047
95;15352.70644;9.398380113;0.274412964;0.219509924;0;0.956734592
96;19630.42132;9.728561958;0.346849679;0.470999542;0.089976026;0.778668583
97;21837.25315;9.789628476;0.41382989;0.417110694;0.123922582;0.785270223
98;21321.48976;9.875757304;0.196991912;0.728245875;0.144760971;0.926211143
99;17236.31625;9.542797602;0.274243923;0.479853377;0.112996495;0.781802936
100;18520.45308;9.708744439;0.330498151;0.4813741;0.128739879;0.752950226
101;11347.55363;9.204179117;0.285747029;0.391626954;0.047944636;0.818603369
102;12877.44845;9.240518656;0.251598144;0.496818316;0.086709951;0.716562221
103;18599.94171;9.703724463;0.282888341;0.559677708;0.019756649;0.651248744
104;20060.56963;9.630869961;0.274199087;0.555411668;0.055115707;0.826626181
105;13525.05926;9.425608805;0.172619779;0.503103224;0;0.887327335
106;14513.04081;9.48844543;0.290478706;0.646145895;0.082060631;0.754283652
107;18303.88527;9.668088019;0.205920514;0.610757776;0.072088326;0.812781454
